Scenario,Registered,Success,Rate%,MeanIntra,MeanInter,Separation
Single,300,300,100.0,2.0440677966101695,32.052616064848934,30.008548268238766
Multi,300,300,100.0,0.488135593220339,32.070778300549854,31.582642707329516
