Scenario,Registered,Success,Rate%,MeanIntra,MeanInter,Separation
Single,300,171,56.99999999999999,24.613559322033897,128.24799047673034,103.63443115469644
Multi,300,293,97.66666666666667,10.552542372881357,128.2569015361941,117.70435916331274
