Scenario,Registered,Success,Rate%,MeanIntra,MeanInter,Separation
Single,300,297,99.0,5.4847457627118645,64.11617255257639,58.63142678986452
Multi,300,300,100.0,1.7322033898305085,64.13402868318123,62.40182529335072
