File,Expected,Predicted,Intra_Hamming,Within_Threshold,Match,Authenticated
1_2.csv,1,1,29,0,1,0
10_2.csv,10,10,29,0,1,0
100_2.csv,100,100,40,0,1,0
101_2.csv,101,101,48,0,1,0
102_2.csv,102,102,43,0,1,0
103_2.csv,103,103,51,0,1,0
104_2.csv,104,104,33,0,1,0
105_2.csv,105,105,41,0,1,0
106_2.csv,106,106,37,0,1,0
107_2.csv,107,107,41,0,1,0
108_2.csv,108,108,46,0,1,0
109_2.csv,109,109,44,0,1,0
11_2.csv,11,11,34,0,1,0
110_2.csv,110,110,39,0,1,0
111_2.csv,111,111,44,0,1,0
112_2.csv,112,112,49,0,1,0
113_2.csv,113,113,46,0,1,0
114_2.csv,114,114,38,0,1,0
115_2.csv,115,115,42,0,1,0
116_2.csv,116,116,38,0,1,0
117_2.csv,117,117,38,0,1,0
118_2.csv,118,118,40,0,1,0
119_2.csv,119,119,47,0,1,0
12_2.csv,12,12,20,1,1,1
120_2.csv,120,120,53,0,1,0
121_2.csv,121,121,41,0,1,0
122_2.csv,122,122,33,0,1,0
123_2.csv,123,123,41,0,1,0
124_2.csv,124,124,60,0,1,0
125_2.csv,125,125,50,0,1,0
126_2.csv,126,126,41,0,1,0
127_2.csv,127,127,36,0,1,0
128_2.csv,128,128,38,0,1,0
129_2.csv,129,129,45,0,1,0
13_2.csv,13,13,19,1,1,1
130_2.csv,130,130,45,0,1,0
131_2.csv,131,131,46,0,1,0
132_2.csv,132,132,36,0,1,0
133_2.csv,133,133,55,0,1,0
134_2.csv,134,134,48,0,1,0
135_2.csv,135,135,58,0,1,0
136_2.csv,136,136,38,0,1,0
137_2.csv,137,137,46,0,1,0
138_2.csv,138,138,43,0,1,0
139_2.csv,139,139,35,0,1,0
14_2.csv,14,14,31,0,1,0
140_2.csv,140,140,35,0,1,0
15_2.csv,15,15,30,0,1,0
151_2.csv,151,151,29,0,1,0
152_2.csv,152,152,19,1,1,1
153_2.csv,153,153,37,0,1,0
154_2.csv,154,154,25,1,1,1
155_2.csv,155,155,32,0,1,0
156_2.csv,156,156,33,0,1,0
157_2.csv,157,157,33,0,1,0
158_2.csv,158,158,29,0,1,0
159_2.csv,159,159,23,1,1,1
16_2.csv,16,16,59,0,1,0
160_2.csv,160,160,33,0,1,0
161_2.csv,161,161,34,0,1,0
162_2.csv,162,162,24,1,1,1
