Scenario,Registered,Success,Rate_Pct,MeanIntra,MeanInter,Separation
Single,300,294,98,2.0135593220339,32.078374241823,30.0648149197891
Multi,300,295,98.3333333333333,0.796610169491525,32.0678419590726,31.2712317895811
