File,Expected,Predicted,Intra_Hamming,Within_Threshold,Match,Authenticated
1_5.csv,1,1,1,1,1,1
10_5.csv,10,10,1,1,1,1
100_5.csv,100,100,1,1,1,1
101_5.csv,101,101,2,1,1,1
102_5.csv,102,102,3,1,1,1
103_5.csv,103,103,3,1,1,1
104_5.csv,104,104,0,1,1,1
105_5.csv,105,105,1,1,1,1
106_5.csv,106,106,1,1,1,1
107_5.csv,107,107,0,1,1,1
108_5.csv,108,108,1,1,1,1
109_5.csv,109,109,1,1,1,1
11_5.csv,11,11,1,1,1,1
110_5.csv,110,110,2,1,1,1
111_5.csv,111,111,1,1,1,1
112_5.csv,112,112,4,1,1,1
113_5.csv,113,113,1,1,1,1
114_5.csv,114,114,0,1,1,1
115_5.csv,115,115,0,1,1,1
116_5.csv,116,116,2,1,1,1
117_5.csv,117,117,0,1,1,1
118_5.csv,118,118,1,1,1,1
119_5.csv,119,119,1,1,1,1
12_5.csv,12,12,0,1,1,1
120_5.csv,120,120,0,1,1,1
121_5.csv,121,121,1,1,1,1
122_5.csv,122,122,1,1,1,1
123_5.csv,123,123,2,1,1,1
124_5.csv,124,124,0,1,1,1
125_5.csv,125,125,0,1,1,1
126_5.csv,126,126,1,1,1,1
127_5.csv,127,127,0,1,1,1
128_5.csv,128,128,0,1,1,1
129_5.csv,129,129,1,1,1,1
13_5.csv,13,13,0,1,1,1
130_5.csv,130,130,1,1,1,1
131_5.csv,131,131,0,1,1,1
132_5.csv,132,132,0,1,1,1
133_5.csv,133,133,0,1,1,1
134_5.csv,134,134,2,1,1,1
135_5.csv,135,135,0,1,1,1
136_5.csv,136,136,1,1,1,1
137_5.csv,137,137,1,1,1,1
138_5.csv,138,138,1,1,1,1
139_5.csv,139,139,0,1,1,1
14_5.csv,14,14,2,1,1,1
140_5.csv,140,140,0,1,1,1
15_5.csv,15,15,2,1,1,1
151_5.csv,151,151,1,1,1,1
152_5.csv,152,152,2,1,1,1
153_5.csv,153,153,2,1,1,1
154_5.csv,154,154,1,1,1,1
155_5.csv,155,155,3,1,1,1
156_5.csv,156,156,1,1,1,1
157_5.csv,157,157,0,1,1,1
158_5.csv,158,158,1,1,1,1
159_5.csv,159,159,0,1,1,1
16_5.csv,16,16,0,1,1,1
160_5.csv,160,160,0,1,1,1
161_5.csv,161,161,0,1,1,1
162_5.csv,162,162,1,1,1,1
163_5.csv,163,163,0,1,1,1
164_5.csv,164,164,0,1,1,1
165_5.csv,165,165,3,1,1,1
166_5.csv,166,166,2,1,1,1
167_5.csv,167,167,0,1,1,1
168_5.csv,168,168,0,1,1,1
169_5.csv,169,169,0,1,1,1
17_5.csv,17,17,0,1,1,1
170_5.csv,170,170,1,1,1,1
171_5.csv,171,171,1,1,1,1
172_5.csv,172,172,1,1,1,1
173_5.csv,173,173,1,1,1,1
174_5.csv,174,174,0,1,1,1
175_5.csv,175,175,0,1,1,1
176_5.csv,176,176,2,1,1,1
177_5.csv,177,177,2,1,1,1
178_5.csv,178,178,2,1,1,1
179_5.csv,179,179,1,1,1,1
18_5.csv,18,18,0,1,1,1
180_5.csv,180,180,0,1,1,1
181_5.csv,181,181,0,1,1,1
182_5.csv,182,182,0,1,1,1
183_5.csv,183,183,0,1,1,1
184_5.csv,184,184,0,1,1,1
185_5.csv,185,185,1,1,1,1
186_5.csv,186,186,0,1,1,1
187_5.csv,187,187,0,1,1,1
188_5.csv,188,188,1,1,1,1
189_5.csv,189,189,0,1,1,1
19_5.csv,19,19,0,1,1,1
190_5.csv,190,190,0,1,1,1
191_5.csv,191,191,1,1,1,1
192_5.csv,192,192,0,1,1,1
193_5.csv,193,193,2,1,1,1
194_5.csv,194,194,0,1,1,1
195_5.csv,195,195,0,1,1,1
196_5.csv,196,196,2,1,1,1
197_5.csv,197,197,1,1,1,1
198_5.csv,198,198,2,1,1,1
199_5.csv,199,199,0,1,1,1
2_5.csv,2,2,1,1,1,1
20_5.csv,20,20,1,1,1,1
200_5.csv,200,200,0,1,1,1
202_5.csv,202,202,0,1,1,1
203_5.csv,203,203,0,1,1,1
