Scenario,Registered,Success,Rate_Pct,MeanIntra,MeanInter,Separation
Single,300,85,28.3333333333333,33.4745762711864,128.255994558132,94.7814182869452
Multi,300,249,83,16.7627118644068,128.259339039737,111.49662717533
