Scenario,Registered,Success,Rate_Pct,MeanIntra,MeanInter,Separation
Single,300,294,98,7.30847457627119,64.1468737599909,56.8383991837197
Multi,300,295,98.3333333333333,3.0135593220339,64.1281219885494,61.1145626665155
