Stage,Window,N_Points,Intra_Avg,Inter_Avg,Separation_Score
1_Window_Selection,10k-1000k,500,4.873446327683616,64.13178769155188,59.25834136386826
1_Window_Selection,10k-100k,500,5.801129943502825,64.11169812746822,58.310568183965394
1_Window_Selection,20k-35k,500,31.88813559322034,64.04033407025301,32.15219847703267
1_Window_Selection,60k-100k,500,18.390960451977403,64.06810649434082,45.67714604236342
1_Window_Selection,80k-95k,500,38.019209039548024,64.05114222549743,26.031933185949406
1_Window_Selection,100k-1000k,500,4.454237288135594,64.1202539538575,59.666016665721905
2_Sampling_Reduction,100k-1000k,400,3.853107344632768,64.12019726772859,60.26708992309582
2_Sampling_Reduction,100k-1000k,300,4.0045197740113,64.10867108818472,60.10415131417342
2_Sampling_Reduction,100k-1000k,200,4.11864406779661,64.11030742777243,59.99166335997582
2_Sampling_Reduction,100k-1000k,100,17.596610169491523,64.08286000415698,46.48624983466546
2_Sampling_Reduction,100k-1000k,50,25.332203389830507,50.04204977042118,24.709846380590673
2_Sampling_Reduction,100k-1000k,25,0.5423728813559322,12.51595714528655,11.973584263930617
2_Sampling_Reduction,100k-1000k,10,0.10508474576271186,5.002890992574117,4.897806246811405
2_Sampling_Reduction,10k-1000k,400,6.190960451977401,64.12157663019859,57.930616178221186
2_Sampling_Reduction,10k-1000k,300,5.831638418079096,64.1084443436691,58.27680592559001
2_Sampling_Reduction,10k-1000k,200,5.908474576271186,64.10794550573475,58.19947092946356
2_Sampling_Reduction,10k-1000k,100,19.366101694915255,64.0902518753661,44.72415018045085
2_Sampling_Reduction,10k-1000k,50,26.620338983050846,50.04641460234681,23.42607561929596
2_Sampling_Reduction,10k-1000k,25,0.8203389830508474,12.509846380590668,11.68950739753982
2_Sampling_Reduction,10k-1000k,10,0.24067796610169492,5.003412504960036,4.762734538858341
2_Sampling_Reduction,10k-100k,400,5.431638418079096,64.11921092908565,58.68757251100656
2_Sampling_Reduction,10k-100k,300,4.793220338983051,64.12662547474632,59.33340513576327
2_Sampling_Reduction,10k-100k,200,6.416949152542372,64.11723825179979,57.70028909925742
2_Sampling_Reduction,10k-100k,100,22.128813559322037,64.07688906524574,41.9480755059237
2_Sampling_Reduction,10k-100k,50,28.13559322033898,49.96759820871833,21.83200498837935
2_Sampling_Reduction,10k-100k,25,1.0508474576271187,12.499744912419933,11.448897454792814
2_Sampling_Reduction,10k-100k,10,0.29152542372881357,4.986576724675472,4.695051300946658
