Stage,Window,N_Points,Intra_Avg,Inter_Avg,Separation_Score
1_Window_Selection,10k-1000k,500,18.022598870056495,128.25281257676247,110.23021370670597
1_Window_Selection,10k-100k,500,40.954802259887,128.19135347580448,87.23655121591747
1_Window_Selection,20k-35k,500,59.908474576271196,128.13767171173214,68.22919713546094
1_Window_Selection,60k-100k,500,55.81468926553672,128.1441755002551,72.32948623471839
1_Window_Selection,80k-95k,500,102.02937853107345,128.0615838104416,26.032205279368142
1_Window_Selection,100k-1000k,500,25.74237288135593,128.23116603367157,102.48879315231564
2_Sampling_Reduction,10k-1000k,400,19.176271186440676,128.23973697636188,109.06346578992121
2_Sampling_Reduction,10k-1000k,300,21.477966101694914,128.23525121402793,106.75728511233301
2_Sampling_Reduction,10k-1000k,200,43.93333333333334,128.17747293237346,84.24413959904012
2_Sampling_Reduction,10k-1000k,100,54.62033898305085,100.05443002097387,45.43409103792302
2_Sampling_Reduction,10k-1000k,50,26.620338983050846,50.04641460234681,23.42607561929596
2_Sampling_Reduction,10k-1000k,25,0.8203389830508474,12.509846380590668,11.68950739753982
2_Sampling_Reduction,10k-1000k,10,0.24067796610169492,5.003412504960036,4.762734538858341
2_Sampling_Reduction,100k-1000k,400,26.141242937853107,128.2222965440357,102.08105360618258
2_Sampling_Reduction,100k-1000k,300,24.87231638418079,128.22580352587718,103.35348714169639
2_Sampling_Reduction,100k-1000k,200,42.21468926553673,128.18092700716133,85.96623774162461
2_Sampling_Reduction,100k-1000k,100,52.410169491525416,100.11372371180772,47.70355422028231
2_Sampling_Reduction,100k-1000k,50,25.332203389830507,50.04204977042118,24.709846380590673
2_Sampling_Reduction,100k-1000k,25,0.5423728813559322,12.51595714528655,11.973584263930617
2_Sampling_Reduction,100k-1000k,10,0.10508474576271186,5.002890992574117,4.897806246811405
2_Sampling_Reduction,10k-100k,400,38.24406779661017,128.20430814579674,89.96024034918658
2_Sampling_Reduction,10k-100k,300,35.945762711864404,128.24037186100563,92.29460914914122
2_Sampling_Reduction,10k-100k,200,51.69152542372882,128.17582525555997,76.48429983183115
2_Sampling_Reduction,10k-100k,100,57.20000000000001,100.06725242333202,42.86725242333201
2_Sampling_Reduction,10k-100k,50,28.13559322033898,49.96759820871833,21.83200498837935
2_Sampling_Reduction,10k-100k,25,1.0508474576271187,12.499744912419933,11.448897454792814
2_Sampling_Reduction,10k-100k,10,0.29152542372881357,4.986576724675472,4.695051300946658
