Stage,Window,N_Points,Intra_Avg,Inter_Avg,Separation_Score
1_Window_Selection,10k-1000k,500,0.8440677966101696,32.0551782778754,31.21111048126523
1_Window_Selection,10k-100k,500,0.8870056497175142,32.056417814560774,31.16941216484326
1_Window_Selection,20k-35k,500,11.148022598870057,32.003287795476446,20.85526519660639
1_Window_Selection,60k-100k,500,1.5016949152542374,32.033429699752475,30.531734784498237
1_Window_Selection,80k-95k,500,8.925423728813561,32.04594221793928,23.120518489125715
1_Window_Selection,100k-1000k,500,2.4293785310734464,32.04320994652608,29.613831415452637
2_Sampling_Reduction,10k-1000k,400,1.2146892655367232,32.06026491317575,30.845575647639027
2_Sampling_Reduction,10k-1000k,300,1.1242937853107344,32.044370122630994,30.92007633732026
2_Sampling_Reduction,10k-1000k,200,0.9152542372881355,32.042661980613346,31.12740774332521
2_Sampling_Reduction,10k-1000k,100,2.305084745762712,32.052880600117156,29.747795854354443
2_Sampling_Reduction,10k-1000k,50,9.022598870056497,32.03115469644578,23.008555826389284
2_Sampling_Reduction,10k-1000k,25,0.8203389830508474,12.509846380590668,11.68950739753982
2_Sampling_Reduction,10k-1000k,10,0.24067796610169492,5.003412504960036,4.762734538858341
2_Sampling_Reduction,10k-100k,400,0.9175141242937853,32.060280029476786,31.142765905183
2_Sampling_Reduction,10k-100k,300,0.9830508474576272,32.052827693063506,31.06977684560588
2_Sampling_Reduction,10k-100k,200,1.0598870056497176,32.054645428263704,30.994758422613987
2_Sampling_Reduction,10k-100k,100,1.7005649717514124,32.055178277875406,30.354613306123994
2_Sampling_Reduction,10k-100k,50,10.094915254237288,32.01341193809875,21.918496683861463
2_Sampling_Reduction,10k-100k,25,1.0508474576271187,12.499744912419933,11.448897454792814
2_Sampling_Reduction,10k-100k,10,0.29152542372881357,4.986576724675472,4.695051300946658
2_Sampling_Reduction,60k-100k,400,1.488135593220339,32.03254917521682,30.544413581996483
2_Sampling_Reduction,60k-100k,300,1.4790960451977402,32.030009636641914,30.550913591444175
2_Sampling_Reduction,60k-100k,200,1.5152542372881355,32.029850915480985,30.51459667819285
2_Sampling_Reduction,60k-100k,100,1.7661016949152541,32.0418570375829,30.275755342667647
2_Sampling_Reduction,60k-100k,50,8.622598870056498,32.04138465317536,23.418785783118864
2_Sampling_Reduction,60k-100k,25,0.24745762711864408,12.484122215293917,12.236664588175273
2_Sampling_Reduction,60k-100k,10,0.08135593220338982,4.9991723825179974,4.917816450314608
