Experiment,Start_Freq,End_Freq,N_Points,Single_Intra_Avg,Single_Inter_Avg,Multi_Intra_Avg,Multi_Inter_Avg
10k-1000k (N=2001),10000,1000000,2001,9.35457627118644,64.13294711184173,5.47593220338983,64.10335695255371
10k-1000k (N=500),10000,1000000,500,9.593898305084746,64.11175556941217,5.538983050847458,64.12987018876481
10k-1000k (N=400),10000,1000000,400,10.627118644067796,64.11222266311434,5.439322033898305,64.12591122952213
10k-1000k (N=300),10000,1000000,300,10.568813559322034,64.11175103452186,5.471864406779661,64.10919108894055
10k-1000k (N=200),10000,1000000,200,9.877966101694915,64.1034295107987,6.2013559322033895,64.10791224987247
10k-1000k (N=100),10000,1000000,100,24.82372881355932,64.04779774389208,19.413559322033898,64.09605577915084
10k-100k (N=2001),10000,100000,2001,10.863728813559321,64.11084178901423,5.179661016949153,64.10729777223513
10k-100k (N=500),10000,100000,500,11.65627118644068,64.11946034805283,4.907796610169492,64.11370557224646
10k-100k (N=400),10000,100000,400,12.166101694915255,64.10178561306049,5.830508474576272,64.11834249759083
10k-100k (N=300),10000,100000,300,11.629152542372882,64.11085539368517,5.054915254237288,64.12599965988322
10k-100k (N=200),10000,100000,200,13.172881355932201,64.08730797573834,6.415593220338982,64.1181792415396
10k-100k (N=100),10000,100000,100,28.68813559322034,64.0772631936965,22.243389830508473,64.0853806473556
60k-100k (N=500),60000,100000,500,30.29830508474576,64.05134402811633,18.10440677966102,64.0675993424409
60k-100k (N=400),60000,100000,400,30.043389830508477,64.06103282126864,16.464406779661015,64.06969899665553
60k-100k (N=300),60000,100000,300,29.829152542372878,64.05757043251516,16.482033898305083,64.07188934867638
60k-100k (N=200),60000,100000,200,29.772881355932203,64.0620486366986,16.909830508474577,64.07486196927611
60k-100k (N=100),60000,100000,100,32.54915254237288,64.04305878351568,23.07525423728814,64.05922340003401
100k-1000k (N=500),100000,1000000,500,8.614915254237287,64.10800748256902,4.366779661016949,64.12043081457968
100k-1000k (N=200),100000,1000000,200,8.735593220338982,64.10269259112295,4.465762711864407,64.11061277705346
