Experiment,Start_Freq,End_Freq,N_Points,Single_Intra_Avg,Single_Inter_Avg,Multi_Intra_Avg,Multi_Inter_Avg
10k-1000k (N=2001),10000,1000000,2001,24.613559322033897,128.24799047673034,16.03457627118644,128.24414488974548
10k-1000k (N=500),10000,1000000,500,35.054237288135596,128.17940026075618,22.604067796610174,128.2123893203333
10k-1000k (N=100),10000,1000000,100,58.48813559322034,100.06110764695879,53.82033898305085,100.03072388186611
10k-100k (N=1000),10000,100000,1000,54.75932203389831,128.17692874553597,38.080677966101696,128.20707442888724
10k-100k (N=250),10000,100000,250,62.52542372881355,128.16035372144435,35.46576271186441,128.20290006235476
10k-100k (N=50),10000,100000,50,28.376271186440682,50.079281219885495,25.989830508474576,50.00885437333484
20k-35k (N=100),20000,35000,100,83.54576271186441,99.94407346522306,66.10847457627119,100.07258091944901
20k-35k (N=25),20000,35000,25,16.17627118644068,24.94753131908622,1.9423728813559322,12.46017799444476
60k-95k (N=500),60000,95000,500,93.43728813559322,127.96631710220508,62.324067796610166,128.14679439941045
60k-95k (N=100),60000,95000,100,68.79661016949153,100.04291139958052,58.33898305084746,100.05973584263931
80k-95k (N=150),80000,95000,150,112.8135593220339,127.96603367156055,88.32203389830508,128.0262910265858
80k-95k (N=20),80000,95000,20,11.525423728813559,19.99760784536024,0.535593220338983,10.0175840371861
100k-1000k (N=500),100000,1000000,500,39.67457627118644,128.22440904710618,27.3864406779661,128.2155342667649
100k-1000k (N=50),100000,1000000,50,27.684745762711863,50.04526954254294,26.671186440677968,50.0535797290403
