Experiment,Start_Freq,End_Freq,N_Points,Single_Intra_Avg,Single_Inter_Avg,Multi_Intra_Avg,Multi_Inter_Avg
10k-1000k (N=2001),10000,1000000,2001,24.772881355932203,128.26533643217505,14.684745762711865,128.22590556090927
10k-1000k (N=500),10000,1000000,500,30.206779661016945,128.23817243920413,16.927457627118645,128.2554526387393
10k-1000k (N=400),10000,1000000,400,33.22372881355932,128.23500935321127,18.945762711864408,128.23900232413126
10k-1000k (N=300),10000,1000000,300,39.05762711864407,128.20857094269033,21.635932203389828,128.23435859645144
10k-1000k (N=200),10000,1000000,200,57.72542372881357,128.15008219488692,44.11593220338983,128.17042798027322
10k-1000k (N=100),10000,1000000,100,60.63389830508474,100.04928292046937,54.62033898305085,100.05443002097387
10k-100k (N=2001),10000,100000,2001,56.68813559322034,128.15390283997505,41.7071186440678,128.1750603707273
10k-100k (N=500),10000,100000,500,58.64406779661017,128.17805113088826,39.43796610169492,128.19555807493904
10k-100k (N=400),10000,100000,400,59.29152542372881,128.15570545887422,38.76203389830509,128.199782325265
10k-100k (N=300),10000,100000,300,61.43728813559322,128.1456606768324,35.88474576271186,128.2435326795533
10k-100k (N=200),10000,100000,200,70.56610169491526,128.13298565840938,51.43118644067796,128.1558256334675
10k-100k (N=100),10000,100000,100,64.38983050847457,100.08683181225554,57.2,100.06725242333201
60k-100k (N=500),60000,100000,500,92.34915254237288,127.98189445042799,55.89966101694915,128.14223683464655
60k-100k (N=400),60000,100000,400,92.0542372881356,128.08483646051812,56.04,128.1488668442832
60k-100k (N=300),60000,100000,300,91.4,128.03598435462843,56.16474576271187,128.1712510628649
60k-100k (N=200),60000,100000,200,92.44406779661017,128.03614307578934,61.71254237288135,128.11964401111047
60k-100k (N=100),60000,100000,100,68.0406779661017,100.02991893883566,58.73220338983051,100.06627742191486
100k-1000k (N=500),100000,1000000,500,37.938983050847455,128.20015872116093,26.909830508474577,128.2230984638059
100k-1000k (N=200),100000,1000000,200,55.68135593220338,128.15771214783743,42.31254237288135,128.16872966385125
