Experiment,Start_Freq,End_Freq,N_Points,Single_Intra_Avg,Single_Inter_Avg,Multi_Intra_Avg,Multi_Inter_Avg
10k-1000k (N=2001),10000,1000000,2001,3.0955932203389827,32.04879088487047,1.7342372881355932,32.069966555183946
10k-1000k (N=500),10000,1000000,500,2.503728813559322,32.03770988039227,1.023050847457627,32.032943710674
10k-1000k (N=400),10000,1000000,400,3.214915254237288,32.051808854373334,1.6311864406779661,32.073199931976646
10k-1000k (N=300),10000,1000000,300,2.7932203389830508,32.04687489371351,1.3308474576271185,32.05399240405873
10k-1000k (N=200),10000,1000000,200,2.6508474576271186,32.050291933563855,1.3789830508474576,32.05725525763845
10k-1000k (N=100),10000,1000000,100,3.5694915254237287,32.05258205317159,1.9749152542372883,32.04633297432118
10k-100k (N=2001),10000,100000,2001,3.0440677966101695,32.05875403888668,0.7796610169491526,32.04578198514823
10k-100k (N=500),10000,100000,500,3.4277966101694917,32.05913270222777,1.0983050847457627,32.04560285698089
10k-100k (N=400),10000,100000,400,3.079322033898305,32.05943653987869,1.167457627118644,32.049600362791224
10k-100k (N=300),10000,100000,300,3.2691525423728818,32.05901479507965,0.7762711864406779,32.04838727963268
10k-100k (N=200),10000,100000,200,2.864406779661017,32.058262003287794,0.8738983050847458,32.053749787427016
10k-100k (N=100),10000,100000,100,3.0983050847457627,32.05649339606598,1.088813559322034,32.05383141545264
60k-100k (N=500),60000,100000,500,4.561355932203389,32.03234510515277,1.4603389830508475,32.042732271413186
60k-100k (N=400),60000,100000,400,4.582372881355933,32.03067853296299,1.4718644067796611,32.03934244090471
60k-100k (N=300),60000,100000,300,4.48135593220339,32.03053795136331,1.5403389830508476,32.04173913043478
60k-100k (N=200),60000,100000,200,4.396610169491526,32.03606371520889,1.633220338983051,32.040124709483585
60k-100k (N=100),60000,100000,100,4.725423728813559,32.033716909472254,1.8705084745762712,32.0407754662434
100k-1000k (N=500),100000,1000000,500,2.7355932203389832,32.06469247775069,1.262372881355932,32.049829374751994
100k-1000k (N=200),100000,1000000,200,2.393220338983051,32.04521285641403,0.9532203389830508,32.0617379967122
