PC_Index,Explained_Var_Ratio,Identity_Score,Health_Score,Temp_Sensitivity,Aging_Sensitivity,Load_Sensitivity
0,0.43670193166382343,0.9948339981067696,0.9925169877360683,0.0777583577862984,0.016069610154570806,0.04092550855528893
1,0.036868313962519515,0.016980423515884645,1.1133542693361316,0.907942063930796,0.9575860422868496,0.9673197295291788
2,0.009535135054280448,0.026438223856361655,0.6734095461970351,0.8663027178935854,0.9786982891842861,0.9786954434594397
3,0.002895837010573056,0.6296366993972544,0.9879590923459346,0.14289632204094152,0.050765560395909765,0.025789578904002325
4,0.002811563272830068,0.10526819008875583,0.9991857111538804,0.10024102169687354,0.013028801593965956,0.05293052911659087
5,0.0027862412066046545,0.11885869689584495,0.9990943173348341,0.1516231100044319,0.018890126045667383,0.12242153113562923
6,0.002752466369302086,0.08620810039703172,0.9998946212481132,0.10612246376022116,0.008787975872827872,0.1763681204923062
7,0.0027339798283179716,0.09555661379488838,0.9998710737524006,0.1490141212589819,0.0027456393021547537,0.07891645386298304
8,0.0026928703375154067,0.09608691284837902,0.9997256735272769,0.14355790977984956,0.008499887736673754,0.06524702482904687
9,0.00268934704101674,0.08546056658125883,0.9997150753316028,0.08578197361457043,0.017112661802544508,0.49803051670947407
10,0.00266811709432128,0.10099464412182363,0.9989406623258329,0.12139394517513585,0.016663806443620234,0.3026474579328746
11,0.0026494589321685025,0.0886876553022848,0.9999154829973927,0.13590073643493272,0.0075207398303163454,0.17472359920113134
12,0.0026120195167518225,0.09374572270678902,0.9993060395602898,0.02831180312650565,0.017866617776872578,0.37034146071597374
13,0.002608384499802355,0.09075799322064965,0.9998365222755566,0.03902212066639077,0.0035430117199176468,0.12339473051956434
14,0.0025817055171907656,0.08733424395405029,0.9994523599841749,0.1667897521384788,0.020499432628675027,0.7192116922761038
15,0.0025760107936492597,0.08875222904529814,0.9992359436077256,0.027522267516424156,0.024587630203437773,0.4309901100130714
16,0.0025697648032842317,0.08932624980504304,0.9999276468849655,0.019086779397478406,0.01095998543398639,0.2074950958497423
17,0.0025542504892027097,0.08982951704597027,0.998524416082614,0.15509815537214078,0.03645314654048039,0.7855507383367141
18,0.0025336141886986015,0.08873267327409638,0.9996015533134761,0.04382562501578039,0.021644984773702244,0.34481324374256767
19,0.0025177365606121422,0.08619406679204068,0.9998441385464941,0.2811578539591302,0.017660540422629042,0.04456631233790356
