Device,Auth_Sweep,Intra_Distance,Mean_Inter_Distance,Min_Inter_Distance,Max_Inter_Distance,Separation_Ratio
1,2,0.4636661574788978,44.149415655846376,10.123781350339032,102.72342853024784,95.21810895951491
1,3,0.5359562547715411,44.138639320252274,10.093844369320859,102.81498411616576,82.3549274847398
1,4,0.5711753301552662,44.125639050993584,10.069530771627573,102.84856071868285,77.25410386064397
1,5,0.8230716953567093,44.117681597939615,9.989297006492835,103.01663899234701,53.60126136132883
10,2,0.5796546641867223,51.685052761236946,9.248805215572284,115.98553782542201,89.16524797070437
10,3,0.4011607598819568,51.56626568856118,9.339771197767368,115.68556115896675,128.54264314961497
10,4,0.4067462701364962,51.58791601223293,9.322961715099302,115.70898676829822,126.83070142625772
10,5,0.5193978640758472,51.72145857315888,9.339261960425842,116.02211018114593,99.5796501192572
100,2,1.0328738929478383,42.64855734974265,7.237015575746747,128.09326482364298,41.29115589814304
100,3,1.6827472260591176,42.516340442673965,7.1913053687769875,127.48753044415471,25.26602898617407
100,4,2.0895602549688634,42.427740998547094,7.205194897743824,127.06542843699404,20.304626628789435
100,5,2.425408156090941,42.364100486314705,7.239031114324668,126.74865412528594,17.466792220211506
101,2,1.678292822679821,51.49005203301514,6.6017287830752025,149.59488234248715,30.680016639764936
101,3,2.8903661301082426,50.752148569060985,6.152583236927678,148.43777817724475,17.559072487321743
101,4,3.8340750363563756,50.217247711166316,5.837882006556122,147.56128367600633,13.097617314217445
101,5,5.5297843933603,49.293245807006244,5.593576896966063,145.99498312756458,8.91413520155543
102,2,1.0032095742649092,42.603854283649476,10.815267483554289,119.06628112844265,42.46755109987011
102,3,1.3772487070786161,42.586245720333984,10.76459236621937,118.70672035825723,30.921245518142005
102,4,1.8274252159740048,42.561536090355474,10.726570834287223,118.27161239608714,23.29043918482108
102,5,2.154369653746981,42.56450538537688,10.735069822034399,118.006202054268,19.7572896154445
103,2,0.8884976695742288,56.79533066619138,6.65031585793007,157.86651261890114,63.9228801288574
103,3,1.3416747152970319,56.44964884567342,6.87595828491598,157.38767051017612,42.07401971679544
103,4,1.7289539401600185,56.17665882505167,7.009488267729849,157.01902025253617,32.49170333301959
103,5,2.019918173802889,55.97980390175072,7.158620098435723,156.7542330620424,27.713896706626922
104,2,0.6980159153281476,64.07327891352953,7.181748891844696,166.71242538624028,91.79343420196
104,3,1.064680787709597,63.74176567162532,7.252313179683685,166.3252844087103,59.86936724016279
104,4,1.341794256557808,63.487728159706116,7.282125771904631,166.0358791750253,47.31554586425184
104,5,1.6699332509276759,63.21434956459134,7.369266268333425,165.7152297733245,37.85441672649523
105,2,0.8247160995225612,57.04999625035226,8.52230894774293,157.8502714065189,69.17531450110661
105,3,1.3101801910667752,56.66881673844379,8.564121921281622,157.3372851290577,43.25268897538132
105,4,1.700602735128043,56.40999064199626,8.600275017451581,156.98337258136453,33.17058660736726
105,5,2.030689832014431,56.16195456689417,8.539092682326807,156.6453460677625,27.656589108251943
106,2,1.7273163778993437,42.82828759216038,6.194591104519665,129.38567912586072,24.794697654808637
106,3,3.0049503770095565,42.566308342078486,6.18309715406097,128.16165672640105,14.16539471869261
106,4,3.954607375779877,42.39200527629122,6.336879880483266,127.27655126905886,10.719649548201916
