Device,N_Sweeps,Mean_Intra_Distance,Std_Intra_Distance,Max_Intra_Distance,First_Last_Distance,Drift_Per_Sweep
1,5,0.4281327817753282,0.19579754819653422,0.8230716953567084,0.8230716953567093,0.20576792383917733
10,5,0.4540509457323075,0.0706051042645141,0.5796546641867223,0.5193978640758472,0.1298494660189618
100,5,1.282235125152289,0.5973273628114881,2.42540815609094,2.425408156090941,0.6063520390227353
101,5,2.684833583715372,1.332312435012757,5.529784393360294,5.5297843933603,1.382446098340075
102,5,1.116321657672677,0.5177656502822364,2.1543696537469796,2.154369653746981,0.5385924134367452
103,5,1.0925417403321742,0.472978426316551,2.0199181738028877,2.019918173802889,0.5049795434507223
104,5,0.9218553950467893,0.3578127770148542,1.6699332509276765,1.6699332509276759,0.41748331273191897
105,5,1.107824065760792,0.45932341587015807,2.030689832014431,2.030689832014431,0.5076724580036077
106,5,2.3272174817851528,1.2067400760706806,4.593745668290846,4.593745668290848,1.148436417072712
107,5,1.5732762121019257,0.7251120512880587,2.9912669208083273,2.9912669208083256,0.7478167302020814
108,5,0.9133473694614113,0.32017831494882554,1.5574667639721012,1.5574667639721036,0.3893666909930259
109,5,1.3588421526310808,0.6264321434476103,2.5828616932817665,2.582861693281764,0.645715423320441
11,5,1.4405536975956172,0.7289470644136113,2.4962634902446528,1.9946444778109989,0.4986611194527497
110,5,1.356771436111058,0.6201709386846498,2.4815526103964283,2.4815526103964283,0.6203881525991071
111,5,1.6071935947938516,0.7713925521530762,3.0496271258297005,3.049627125829701,0.7624067814574252
112,5,0.8279398237061711,0.319603134505591,1.4650611147621067,1.4650611147621058,0.36626527869052644
113,5,0.7291233841635668,0.23200569002244634,1.1201911240129336,1.1161056632701944,0.2790264158175486
114,5,1.2144007965637118,0.5466004345407562,2.276811165458932,2.2768111654589327,0.5692027913647332
115,5,1.2900677155339175,0.5979409688195733,2.5758971268606663,2.5758971268606667,0.6439742817151667
116,5,2.223991984787839,1.1401948641841013,4.300172844751662,4.300172844751663,1.0750432111879158
117,5,1.7372996878292128,0.8733635067729493,3.3590140089259792,3.3590140089259797,0.8397535022314949
118,5,0.5047026246669001,0.060663070034864125,0.5896142814715737,0.589614281471574,0.1474035703678935
119,5,1.570318401546676,0.7925932740406539,3.1381803500570693,3.138180350057068,0.784545087514267
12,5,2.653210974770315,1.0970983415181328,4.1831542400552255,3.7584228525194563,0.9396057131298641
120,5,0.837681685979837,0.27179699426668974,1.4090203756434705,1.409020375643471,0.35225509391086773
