method,n_temp,n_damage,hsic,health_eer,health_eer_D1,health_eer_D2,health_eer_D3,health_eer_D4,health_eer_D1_xval,health_eer_D2_xval,health_eer_D3_xval,health_eer_D4_xval
sisPCA lam=0.0,4,6,3325227.5439499384,0.5,0.6666666666666667,0.33333333333333337,0.5,0.5,0.4666666666666666,0.5666666666666667,0.5,0.5333333333333334
sisPCA lam=0.01,4,6,7.332224210661302,0.375,0.5,0.6666666666666667,0.33333333333333337,0.16666666666666663,0.4000000000000001,0.5,0.4666666666666666,0.3
sisPCA lam=0.05,4,6,0.16955832064976192,0.375,0.4166666666666667,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.39999999999999997,0.3666666666666667,0.3333333333333333,0.19999999999999998
sisPCA lam=0.1,4,6,0.0787861860228372,0.5,0.5,0.6666666666666667,0.5,0.33333333333333337,0.4000000000000001,0.16666666666666666,0.26666666666666666,0.13333333333333333
sisPCA lam=0.5,4,6,0.0011925553219421091,0.4166666666666667,0.5,0.4166666666666667,0.16666666666666663,0.4166666666666667,0.5333333333333333,0.5,0.2333333333333333,0.19999999999999998
sisPCA lam=1.0,4,6,0.0006864024538443635,0.3125,0.6666666666666667,0.16666666666666663,0.16666666666666663,0.33333333333333337,0.6333333333333334,0.10000000000000002,0.2333333333333333,0.10000000000000002
sisPCA lam=10.0,4,6,2.4684283001599114e-05,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666666,0.26666666666666666,0.20000000000000004,0.03333333333333333
