PC_Index,Explained_Variance,Overall_Variance,Between_Device_Variance,Within_Device_Variance,Identity_Score,Health_Score,Dual_Use_Balance
0,0.9654888097397305,1931.943108289202,1930.1884698242607,1.754638464941404,0.9990917752870653,0.0009082247077586621,0.0018164494206933668
1,0.007773773350161647,15.555320473673437,15.487946044233379,0.06737442944005809,0.9956687205827245,0.004331278774408601,0.008662558191684155
2,0.004365203948418361,8.73477310078513,8.732036309121057,0.0027367916640742562,0.9996866774180208,0.00031332143712983724,0.0006266440191090572
3,0.0036236094477350854,7.25084250491791,7.245423558649109,0.005418946268800917,0.9992526446054163,0.0007473540154336489,0.0014947094100173919
4,0.0023991783926370735,4.800755963666792,4.791321138891334,0.009434824775458046,0.9980347189427643,0.001965278974230339,0.003930560031466079
5,0.0018663255682998554,3.734517462168012,3.7194068498018287,0.015110612366183532,0.9959537952416082,0.004046202080669693,0.008092406839061539
6,0.0015437250023354458,3.0889937296732253,3.0385283837730133,0.05046534590021187,0.9836628494088335,0.01633714735386626,0.03267429794503274
7,0.0014141150072807384,2.8296441295687558,2.819199820407928,0.010444309160827602,0.9963089637262941,0.0036910327396926096,0.007382069013398551
8,0.0011459642493339072,2.293074462917148,2.2768589831075543,0.016215479809593925,0.9929284940366699,0.007071501602372865,0.01414300756570297
9,0.0008451335981684908,1.6911123299351503,1.6891835024808655,0.001928827454284726,0.9988594267756578,0.0011405673110744918,0.002281140535416726
10,0.0007643228639807337,1.5294100508254485,1.5275173858524855,0.0018926649729630314,0.9987624803697569,0.0012375130917744376,0.002475032722017545
11,0.0006838351404941053,1.3683541161287054,1.364645078772711,0.0037090373559944415,0.9972894097476886,0.0027105829442615904,0.0054211731965729815
12,0.0006134845681124555,1.2275826207930234,1.2248029359064896,0.0027796848865338725,0.9977356352095516,0.0022643566443573617,0.00452872143480576
13,0.0005931003108342576,1.1867937219793505,1.183413993130947,0.0033797288484034545,0.9971522103990501,0.0028477811748859657,0.005695570775835823
14,0.0004946637054838998,0.9898220746732852,0.985409429489324,0.004412645183961215,0.995541971378202,0.00445801851897224,0.008916047140770211
15,0.0004483000117342661,0.8970483234802665,0.8950448483623007,0.002003475117965786,0.9977665806365271,0.002233408215801405,0.004466827579274302
16,0.0004152628846205216,0.8309410321256646,0.828456026706551,0.0024850054191135847,0.9970093962229178,0.0029905917425339704,0.005981195519616178
17,0.00035956131118445374,0.7194821836800924,0.717453921063727,0.0020282626163654555,0.9971809272916248,0.0028190588094905563,0.005638131517865741
18,0.0003423691823618244,0.6850807339060109,0.6829696875100597,0.002111046395951166,0.9969185290716026,0.0030814563315777407,0.006162927259975137
19,0.00031360167215926395,0.6275169459906871,0.6260116861709971,0.0015052598196899564,0.9976012284523633,0.0023987556118121784,0.004797527159448811
