Device,Predicted,Intra_Hamming,Match
1,1,0,True
10,152,10,False
100,96,10,False
101,127,15,False
102,102,0,True
103,242,20,False
104,99,5,False
105,105,10,True
106,100,27,False
107,111,5,False
108,108,0,True
109,250,10,False
11,11,0,True
110,81,10,False
111,112,10,False
112,120,10,False
113,107,5,False
114,28,10,False
115,115,0,True
116,114,5,False
117,107,10,False
118,118,0,True
119,260,10,False
12,157,10,False
120,136,10,False
121,267,10,False
122,111,10,False
123,121,10,False
124,114,15,False
125,132,10,False
126,136,10,False
127,81,5,False
128,136,10,False
129,113,10,False
13,181,15,False
130,101,15,False
131,131,5,True
132,106,15,False
133,133,0,True
134,284,5,False
135,135,0,True
136,136,0,True
137,100,17,False
138,81,10,False
139,139,0,True
14,180,6,False
140,140,5,True
15,103,36,False
151,11,5,False
152,152,0,True
153,21,5,False
154,159,28,False
155,49,15,False
156,152,15,False
157,225,10,False
158,158,5,True
159,159,0,True
16,16,0,True
160,201,15,False
161,161,0,True
162,19,21,False
163,228,37,False
164,291,5,False
165,197,15,False
166,169,15,False
167,10,15,False
168,195,10,False
169,225,15,False
17,197,20,False
170,170,5,True
171,201,10,False
172,235,18,False
173,62,42,False
174,19,5,False
175,172,5,False
176,231,10,False
177,70,33,False
178,49,21,False
179,210,37,False
18,242,11,False
180,236,15,False
181,39,37,False
182,176,18,False
183,183,0,True
184,184,0,True
185,185,5,True
186,63,15,False
187,239,15,False
188,170,15,False
189,197,5,False
19,232,5,False
190,157,10,False
191,188,10,False
192,192,0,True
193,236,10,False
194,220,15,False
195,189,15,False
196,11,25,False
197,166,5,False
198,198,0,True
199,12,42,False
2,183,32,False
20,76,31,False
200,163,10,False
201,230,10,False
202,230,16,False
203,162,10,False
204,49,26,False
205,151,21,False
206,12,10,False
207,181,28,False
208,50,20,False
209,186,5,False
21,231,20,False
210,217,5,False
211,194,5,False
212,184,15,False
213,206,15,False
214,159,10,False
215,181,16,False
216,5,15,False
217,163,10,False
218,66,15,False
219,151,11,False
22,73,15,False
220,67,15,False
221,248,5,False
222,239,15,False
223,170,5,False
224,1,5,False
225,163,15,False
226,194,15,False
227,241,11,False
228,171,25,False
229,41,5,False
23,23,0,True
230,156,16,False
231,194,5,False
232,175,10,False
233,233,15,True
234,247,10,False
235,100,15,False
236,236,0,True
237,201,0,False
238,19,21,False
239,239,0,True
24,110,5,False
240,167,26,False
241,172,15,False
242,8,16,False
243,244,5,False
244,13,15,False
245,194,5,False
246,218,15,False
247,183,27,False
248,239,5,False
249,264,20,False
25,107,15,False
250,133,15,False
251,129,11,False
252,287,5,False
253,256,42,False
254,26,15,False
255,270,31,False
256,109,10,False
257,257,0,True
258,97,5,False
259,264,15,False
26,96,22,False
260,123,10,False
261,117,15,False
262,129,5,False
263,263,0,True
264,264,5,True
265,258,5,False
266,133,5,False
267,134,15,False
268,25,5,False
269,102,10,False
27,271,15,False
270,251,20,False
271,110,21,False
272,277,10,False
273,296,10,False
274,19,15,False
275,270,15,False
276,102,10,False
277,270,20,False
278,102,10,False
279,265,20,False
28,127,10,False
280,252,10,False
281,97,20,False
282,282,10,True
283,90,10,False
284,258,10,False
285,280,15,False
286,106,5,False
287,252,10,False
288,134,5,False
289,106,15,False
29,269,10,False
290,244,15,False
291,290,5,False
292,292,0,True
293,1,10,False
294,115,0,False
295,271,5,False
296,254,10,False
297,236,10,False
298,250,10,False
299,102,15,False
3,266,5,False
30,139,5,False
300,102,10,False
301,37,16,False
302,111,10,False
303,129,10,False
304,254,15,False
305,277,10,False
306,296,10,False
307,285,0,False
308,308,0,True
309,157,32,False
31,38,20,False
310,54,53,False
32,111,5,False
33,139,5,False
34,38,5,False
35,35,0,True
36,139,21,False
37,258,5,False
38,44,15,False
39,1,16,False
4,176,10,False
40,114,26,False
41,175,10,False
42,39,5,False
43,43,5,True
44,38,5,False
45,182,5,False
46,49,15,False
47,34,5,False
48,1,16,False
49,49,0,True
5,82,10,False
50,77,5,False
51,154,15,False
52,52,20,True
53,234,15,False
54,205,43,False
55,82,10,False
56,224,0,False
57,70,10,False
58,72,10,False
59,12,10,False
6,310,20,False
60,175,5,False
61,185,10,False
62,64,10,False
63,166,5,False
64,209,11,False
65,65,10,True
66,66,0,True
67,220,15,False
68,68,0,True
69,208,5,False
7,165,26,False
70,39,5,False
71,161,5,False
72,50,11,False
73,72,10,False
74,38,10,False
75,59,10,False
76,76,0,True
77,209,5,False
78,73,37,False
79,79,0,True
8,39,17,False
80,209,21,False
81,81,5,True
82,172,10,False
83,132,10,False
84,126,10,False
85,308,15,False
86,97,15,False
87,104,10,False
88,110,5,False
89,114,10,False
9,245,10,False
90,90,0,True
91,108,10,False
92,92,5,True
93,234,0,False
94,106,5,False
95,112,10,False
96,131,5,False
97,90,5,False
98,129,5,False
99,108,5,False
