Device,Predicted,Intra_Hamming,Match
1,48,14,False
10,41,23,False
100,34,18,False
101,13,15,False
102,254,17,False
103,308,39,False
104,128,15,False
105,105,18,True
106,53,39,False
107,112,23,False
108,288,17,False
109,14,20,False
11,185,14,False
110,116,24,False
111,265,20,False
112,134,24,False
113,98,16,False
114,127,27,False
115,102,19,False
116,177,18,False
117,112,16,False
118,122,17,False
119,134,21,False
12,17,20,False
120,305,17,False
121,121,13,True
122,257,22,False
123,126,16,False
124,125,21,False
125,269,20,False
126,252,20,False
127,81,14,False
128,267,20,False
129,279,25,False
13,137,20,False
130,23,19,False
131,234,26,False
132,291,18,False
133,295,16,False
134,257,18,False
135,259,20,False
136,126,15,False
137,194,30,False
138,295,19,False
139,266,21,False
14,297,15,False
140,137,20,False
15,52,84,False
151,71,19,False
152,174,18,False
153,239,17,False
154,159,37,False
155,155,14,True
156,19,25,False
157,63,18,False
158,220,20,False
159,159,13,True
16,16,0,True
160,202,23,False
161,155,17,False
162,152,17,False
163,175,45,False
164,193,20,False
165,186,20,False
166,213,20,False
167,156,19,False
168,178,18,False
169,163,15,False
17,197,23,False
170,209,14,False
171,175,24,False
172,187,30,False
173,210,36,False
174,19,20,False
175,172,14,False
176,194,26,False
177,158,30,False
178,155,37,False
179,246,37,False
18,13,21,False
180,271,18,False
181,248,36,False
182,159,36,False
183,14,19,False
184,169,20,False
185,76,20,False
186,80,25,False
187,187,15,True
188,165,19,False
189,192,16,False
19,154,13,False
190,17,16,False
191,192,16,False
192,165,19,False
193,236,17,False
194,220,24,False
195,188,18,False
196,185,32,False
197,17,15,False
198,167,21,False
199,169,45,False
2,109,37,False
20,151,37,False
200,191,20,False
201,274,17,False
202,228,21,False
203,230,21,False
204,155,34,False
205,185,40,False
206,43,18,False
207,269,34,False
208,72,19,False
209,64,23,False
21,221,27,False
210,205,18,False
211,96,18,False
212,225,18,False
213,178,19,False
214,231,19,False
215,181,19,False
216,167,22,False
217,163,18,False
218,165,24,False
219,155,36,False
22,189,24,False
220,15,17,False
221,15,24,False
222,231,21,False
223,212,25,False
224,1,18,False
225,58,18,False
226,226,15,True
227,241,22,False
228,79,18,False
229,228,18,False
23,23,0,True
230,162,16,False
231,176,17,False
232,174,21,False
233,233,21,True
234,4,24,False
235,222,20,False
236,291,15,False
237,10,19,False
238,152,23,False
239,211,20,False
24,89,20,False
240,41,18,False
241,174,19,False
242,266,20,False
243,115,13,False
244,140,24,False
245,221,22,False
246,219,22,False
247,271,31,False
248,214,16,False
249,264,22,False
25,84,21,False
250,133,18,False
251,262,20,False
252,288,22,False
253,27,34,False
254,266,24,False
255,283,35,False
256,244,16,False
257,284,19,False
258,119,21,False
259,264,22,False
26,9,38,False
260,112,16,False
261,119,20,False
262,252,17,False
263,249,17,False
264,135,18,False
265,285,22,False
266,255,19,False
267,121,17,False
268,279,19,False
269,297,20,False
27,289,13,False
270,112,26,False
271,140,22,False
272,260,18,False
273,300,22,False
274,152,21,False
275,87,23,False
276,300,18,False
277,272,22,False
278,299,21,False
279,288,21,False
28,114,20,False
280,252,16,False
281,285,21,False
282,282,25,True
283,97,16,False
284,283,18,False
285,37,23,False
286,289,23,False
287,91,21,False
288,134,16,False
289,266,21,False
29,255,17,False
290,298,22,False
291,243,18,False
292,292,14,True
293,153,22,False
294,295,16,False
295,193,15,False
296,18,16,False
297,254,26,False
298,304,18,False
299,177,24,False
3,29,13,False
30,24,24,False
300,236,21,False
301,253,24,False
302,129,25,False
303,262,17,False
304,300,18,False
305,99,20,False
306,14,21,False
307,118,15,False
308,308,13,True
309,186,38,False
31,245,19,False
310,162,42,False
32,277,19,False
33,36,24,False
34,74,19,False
35,109,15,False
36,26,24,False
37,90,18,False
38,153,19,False
39,39,14,True
4,226,17,False
40,181,38,False
41,174,20,False
42,224,24,False
43,310,15,False
44,2,16,False
45,171,18,False
46,61,13,False
47,15,21,False
48,70,19,False
49,7,16,False
5,5,11,True
50,209,17,False
51,60,18,False
52,52,24,True
53,93,19,False
54,20,47,False
55,78,22,False
56,224,19,False
57,158,24,False
58,213,20,False
59,163,18,False
6,50,14,False
60,175,20,False
61,11,15,False
62,58,19,False
63,200,16,False
64,157,21,False
65,65,16,True
66,77,19,False
67,53,19,False
68,16,18,False
69,163,15,False
7,66,35,False
70,2,25,False
71,68,17,False
72,12,16,False
73,165,18,False
74,42,18,False
75,190,17,False
76,68,15,False
77,59,20,False
78,168,40,False
79,216,19,False
8,234,33,False
80,157,14,False
81,110,20,False
82,54,19,False
83,132,18,False
84,283,21,False
85,308,24,False
86,123,17,False
87,95,23,False
88,14,19,False
89,13,20,False
9,38,20,False
90,303,21,False
91,262,19,False
92,162,12,False
93,158,20,False
94,137,12,False
95,279,16,False
96,9,15,False
97,119,23,False
98,98,11,True
99,107,26,False
